Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Vintage Purple,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Envy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Heather White,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Indigo,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Premium Heather,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Purple Rush,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Venetian Gray,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Vintage Black,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Vintage Navy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Vintage Royal,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Vintage Red,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,M,,Tri-Blend Vintage Purple,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Envy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Heather White,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Indigo,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Premium Heather,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Purple Rush,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Venetian Gray,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Vintage Black,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Vintage Navy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Vintage Royal,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Vintage Red,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,L,,Tri-Blend Vintage Purple,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Envy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Heather White,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Indigo,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Premium Heather,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Purple Rush,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Venetian Gray,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Vintage Black,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Vintage Navy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Vintage Royal,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Vintage Red,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,XL,,Tri-Blend Vintage Purple,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,Harry Styles Outline Drawing Women's Flowy Scoop Muscle Tank Top | Fine Line Shirt in 4 Colors & Size S-2XL | Harry Styles Merch,"Colors may appear different on computer screen than on object. Colors may vary slightly.A light and airy muscle tee that flows like the wind and feels even better. Looks equally great with casually elegant and sportive clothing.
.: Relaxed fit
.: 65% Polyester; 35% Viscose (fibre content may vary for different colors)
.: Extra Light fabric (3.7 oz/yd² (125 g/m²))
.: Sewn in label
.: Runs smaller than usual

As a result of supply issues due to the Covid-19 pandemic, we are not able to offer gift wrapping on this item. If you still would like to include a message and a special gift experience, you can choose to order the gift wrapping option and a handwritten note with your gift message will be sent especially including multiple stickers with the note and wrapped special.We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.PLEASE NOTE IN REGARDS TO HOLIDAY ORDERS:  We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.",Life Made Magic,"","adore_you, fine_line, golden, harry_styles, import_2021_02_11_033502, merch, muscle_tee, one_direction, review-inventory, review-pricing, shirt, t-shirt, t_shirt, tank_top, watermelon_sugar, with_camera",false,Colors,Athletic Heather,Sizes,S,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2704676765_43y0_92fc6755-6ebb-48d3-9999-f05a41499eb7.jpg?v=1613015973,1,,false,,,,,,,,,,,,,,,,,lb,,,active
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Athletic Heather,,M,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2657014330_g461_74a68596-d511-4786-b39d-7e995b3922ad.jpg?v=1613015974,2,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Athletic Heather,,L,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2704676847_7cjh_05060737-132f-4913-bf72-f1b4bbb82e53.jpg?v=1613015976,3,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Athletic Heather,,XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2657014458_bqk7_ceecc59f-14b3-482a-a4e5-2eddca6f4919.jpg?v=1613015978,4,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Athletic Heather,,2XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Black,,S,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Black,,M,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Black,,L,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Black,,XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Black,,2XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Maroon,,S,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Maroon,,M,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Maroon,,L,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Maroon,,XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,Maroon,,2XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,White,,S,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,White,,M,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,White,,L,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,White,,XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
harry-styles-outline-drawing-women-s-flowy-scoop-muscle-tank-top-fine-line-shirt-in-4-colors-size-s-2xl-harry-styles-merch,,,,,,,,White,,2XL,,,"",0.0,shopify,0,deny,manual,25.00,,false,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-infant-baby-fine-jersey-bodysuit-sizes-newborn-24-months-in-20-colors,Taylor Swift Eras Through Folklore Infant & Baby Fine Jersey Bodysuit Sizes Newborn - 24 Months in 20 Colors,"Colors may appear different on computer screen than on object. Colors may vary slightly.Due to complications with manufacturers as a result of Covid, we are NOT ABLE to offer traditional gift wrapping on the this item or any of the items in the shop category ""Taylor Swift Eras."" **See More Details Below **

Hand Drawn Design of All 8 Taylor Swift Eras from Self Titled, Fearless, Speak Now, Red, 1989, reputation, Lover and including folklore. 

A creeper with softness that is perfect for an infant's sensitive, smooth skin. Durable print will survive the very first adventures of little explorer.
.: 100% Flexible cotton (fibre content may vary for different colors)
.: Light (5.0 oz/yd² (170 g/m²))
.: Tear away label

** What is available if interested in gift wrapping for this item, or others in this category, is a custom, handwritten card with the gift message of your choosing, a waterproof vinyl sticker in the design matching, plus a pack of Taylor Swift related stickers based on songs &amp; lyrics. I try to fulfill requests for songs &amp; lyrics desired in the packs whenever possible. Typically the matching vinyl sticker alone is $4.13 but I wanted to offer an extra special package to thank people for understanding and to make up for the inability to wrap the items in this category prior to mailing them. If you have any questions, or if you would like to request something different to make your gift order special, please do not hesitate to reach out and we can work on the perfect gift plan together. Thank you for shopping small! **We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.PLEASE NOTE IN REGARDS TO HOLIDAY ORDERS:  We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.",Life Made Magic,"","eras, evermore, folklore, import_2021_02_11_033502, lover, merch, review-inventory, review-pricing, swift, swiftie, Taylor, Taylor_Swift, willow",false,Colors,Apple,Sizes,NB,,,"",0.0,shopify,0,deny,manual,20.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629634404_eay9.jpg?v=1613015943,1,,false,,,,,,,,,,,,,,,,,lb,,,active
taylor-swift-eras-through-folklore-infant-baby-fine-jersey-bodysuit-sizes-newborn-24-months-in-20-colors,,,,,,,,Apple,,18M,,,"",0.0,shopify,0,deny,manual,20.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629634464_9t59.jpg?v=1613015946,2,,,,,,,,,,,,,,,,,,,lb,,,
